Date,V6409,V3529,V649,V7129,V2089,V1369,V4969,V5689,V7849,V2809,V4970,V650,V7130,V2810,V4249,V5690,V3530,V6410,V2090,V7850,V360,V4250,V1801,V1370,V361,V1800,V3961,V4680,V3240,V3241,V7561,V2521,V6120,V6841,V1080,V7560,V5401,V6121,V634,V5400,V3960,V633,V2793,V6393,V2520,V6840,V1081,V4681,V2826,V4986,V666,V7833,V6265,V3546,V5705,V2106,V4265,V7146,V665,V6426,V2825,V1385,V2794,V7145,V7866,V6425,V3545,V2105,V3385,V3513,V4985,V7834,V1353,V5706,V1386,V5674,V1354,V2505,V6394,V5673,V4266,V7865,V4953,V505,V4234,V4233,V3514,V345,V6985,V1225,V2073,V1785,V1817,V377,V2504,V6137,V6825,V2074,V4697,V3977
19940101,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940102,0.370000004768372,0.100000001490116,0.140000000596046,0,0.0399999991059303,0.419999986886978,0.0399999991059303,0,0.170000001788139,0.0500000007450581,0.0399999991059303,0.140000000596046,0.0799999982118607,0.119999997317791,0.200000002980232,0,0.200000002980232,0.430000007152557,0.200000002980232,NA,0,0.310000002384186,0,0.579999983310699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600000023841858,0.28999999165535,0.579999983310699,0,0.0799999982118607,0.800000011920929,0.319999992847443,0.490000009536743,0.419999986886978,0.970000028610229,0.649999976158142,0.930000007152557,0.560000002384186,1.29999995231628,0,0.349999994039536,0.569999992847443,0.899999976158142,0.899999976158142,0.25,0.00999999977648258,0,0.270000010728836,0,0,0.379999995231628,1.12000000476837,0,0.00999999977648258,0,0.00999999977648258,0,0.560000002384186,0.610000014305115,0,0.0199999995529652,0.0299999993294477,0.0399999991059303,0,0,0,0.0199999995529652,0,0,0.0199999995529652,0,0,0,0,0.00999999977648258,0.00999999977648258,0
19940103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.0399999991059303,0,0,NA,0,0,0,0,0,0,0,0,0.00999999977648258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
19940104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
19940105,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940106,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,0.0299999993294477,0.00999999977648258,0.00999999977648258,0,0,0.0199999995529652,0.00999999977648258,0.0799999982118607,0,0,0.0500000007450581,0.0900000035762787,0.109999999403954,0.00999999977648258,0,0,0,0.140000000596046,0.0399999991059303,0.310000002384186,0,0,0.109999999403954,0,0,0,0,0,0,0,0,0,0,0.0299999993294477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999999977648258,0,0,0,0
19940107,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940108,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940109,0,0,0,0,NA,0,0,0,0,0,0.00999999977648258,0.0399999991059303,0.0199999995529652,0.0799999982118607,0,0.0900000035762787,0,0.0799999982118607,0.0900000035762787,0,0,0.100000001490116,0,0.00999999977648258,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.119999997317791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0.0199999995529652,0,0,0,0.209999993443489,NA,0,0.150000005960464,NA,0,0,0,0,0.100000001490116,0,0.0299999993294477,0,0,0,0,0,0,0,0,0,0,0.170000001788139,0,0
19940110,0.209999993443489,0,0.0299999993294477,0.00999999977648258,0.129999995231628,0.00999999977648258,0,0,0.0299999993294477,0.0299999993294477,0.170000001788139,0.479999989271164,0.439999997615814,0.490000009536743,0.0500000007450581,NA,0.439999997615814,1.08000004291534,0.939999997615814,0.600000023841858,0,0.670000016689301,0.680000007152557,0.610000014305115,NA,0.0399999991059303,0.469999998807907,0,0,0.239999994635582,0.46000000834465,0.46000000834465,NA,0.239999994635582,0,0.00999999977648258,0.439999997615814,0.689999997615814,0.600000023841858,0.00999999977648258,0.00999999977648258,0.0500000007450581,0.0299999993294477,0.219999998807907,0,0,0.400000005960464,0.109999999403954,0.129999995231628,0,0.129999995231628,0.109999999403954,0.200000002980232,NA,0,0.340000003576279,0,0.0799999982118607,NA,0.449999988079071,0,0,0.540000021457672,0,0.129999995231628,NA,0,0,0.00999999977648258,0.0199999995529652,0,0.610000014305115,0.0199999995529652,0.200000002980232,0.0900000035762787,0.800000011920929,0.589999973773956,0.550000011920929,0.670000016689301,0,0.310000002384186,0,0,0.0199999995529652,0.649999976158142,0.109999999403954,0.649999976158142,0.620000004768372,0.00999999977648258,0.00999999977648258,0.170000001788139,0.680000007152557,0.100000001490116,0.00999999977648258,0.0199999995529652,0.119999997317791,0.330000013113022,0.819999992847443,0.00999999977648258,0.0299999993294477
